"404","0.0","1.0","0.0","1.0"
"405","1.0","7.0","1.0","9.0"
"406","1.0","0.0","0.0","1.0"
"407","0.0","0.0","1.0","1.0"
"408","1.0","7.0","1.0","9.0"
"409","0.0","1.0","0.0","1.0"
"410","1.0","1.0","1.0","3.0"
"411","0.0","1.0","1.0","2.0"
"412","0.0","0.0","1.0","1.0"
"413","2.0","1.0","0.0","3.0"
"414","1.0","1.0","0.0","2.0"
"415","2.0","3.0","2.0","7.0"
"416","0.0","1.0","0.0","1.0"
"418","0.0","1.0","0.0","1.0"
"419","0.0","1.0","0.0","1.0"
"421","0.0","1.0","0.0","1.0"
"423","1.0","0.0","0.0","1.0"
"424","0.0","1.0","0.0","1.0"
"425","3.0","0.0","0.0","3.0"
"426","0.0","3.0","1.0","4.0"
"427","0.0","3.0","0.0","3.0"
"429","5.0","6.0","1.0","12.0"
"432","2.0","1.0","0.0","3.0"
"433","2.0","4.0","2.0","8.0"
"434","2.0","4.0","1.0","7.0"
"436","2.0","5.0","0.0","7.0"
"437","2.0","0.0","0.0","2.0"
"438","0.0","4.0","0.0","4.0"
"440","0.0","1.0","1.0","2.0"
"443","0.0","2.0","1.0","3.0"
"444","0.0","9.0","2.0","11.0"
"445","0.0","2.0","0.0","2.0"
"446","0.0","0.0","1.0","1.0"
"447","2.0","1.0","0.0","3.0"
"448","0.0","1.0","0.0","1.0"
"449","0.0","5.0","0.0","5.0"
"450","1.0","0.0","0.0","1.0"
"451","0.0","1.0","0.0","1.0"
"452","1.0","2.0","1.0","4.0"
"454","0.0","3.0","0.0","3.0"
"455","0.0","0.0","1.0","1.0"
"456","1.0","1.0","0.0","2.0"
"457","0.0","2.0","0.0","2.0"
"458","0.0","2.0","1.0","3.0"
"459","5.0","2.0","0.0","7.0"
"460","0.0","1.0","0.0","1.0"
"461","1.0","0.0","0.0","1.0"
"462","2.0","4.0","0.0","6.0"
"463","0.0","0.0","1.0","1.0"
"464","0.0","0.0","1.0","1.0"
"465","0.0","9.0","2.0","11.0"
"466","1.0","0.0","0.0","1.0"
"467","4.0","2.0","0.0","6.0"
"468","1.0","4.0","3.0","8.0"
"469","0.0","3.0","1.0","4.0"
"470","0.0","1.0","0.0","1.0"
"471","1.0","0.0","0.0","1.0"
"472","0.0","2.0","2.0","4.0"
"474","0.0","6.0","2.0","8.0"
"475","0.0","1.0","0.0","1.0"
"476","2.0","0.0","1.0","3.0"
"477","3.0","4.0","1.0","8.0"
"478","0.0","2.0","1.0","3.0"
"479","1.0","0.0","1.0","2.0"
"480","0.0","2.0","0.0","2.0"
"481","5.0","24.0","1.0","30.0"
"482","2.0","7.0","1.0","10.0"
"483","2.0","2.0","0.0","4.0"
"484","6.0","5.0","3.0","14.0"
"485","0.0","3.0","1.0","4.0"
"487","1.0","1.0","0.0","2.0"
"488","2.0","0.0","0.0","2.0"
"489","1.0","0.0","2.0","3.0"
"490","1.0","6.0","2.0","9.0"
